domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,2,2,model.layers.2.mlp,6,0.010307676370040401,50.0,0.0032677108557572776,53.0,0.0038634359111626767,45.0,0.010307676370040401,0.009492334136244871,0.004186244250514801
general,2,2,model.layers.2.mlp,7,0.019385165233606134,12.0,0.006314827644255672,16.0,0.006782177710278743,18.0,0.019385165233606134,0.01834386720797532,0.007348860728759877
general,2,2,model.layers.2.mlp,8,0.0056200145032632345,63.0,0.0014202924487529784,61.0,0.001305807759877463,61.0,0.0056200145032632345,0.004125790527333651,0.0014149141729698199
general,2,2,model.layers.2.mlp,9,0.034108567284781934,3.0,0.011100950036581892,4.0,0.01072227413977667,5.0,0.034108567284781934,0.032247016834840214,0.01161817084642034
general,2,2,model.layers.2.mlp,10,0.030599295555785767,4.0,0.008425747460310266,7.0,0.0067403577267158826,19.0,0.030599295555785767,0.024475852904784212,0.007303546487816777
general,2,2,model.layers.2.mlp,11,0.012509064539521393,39.0,0.004325143515131307,38.0,0.005330604966585159,31.0,0.012509064539521393,0.012564057606414065,0.0057760022182992915
general,2,2,model.layers.2.mlp,12,0.0107479540039366,49.0,0.0034541232121814464,49.0,0.004055862856734964,42.0,0.0107479540039366,0.010033841158258576,0.004394749377316215
general,2,2,model.layers.2.mlp,13,0.011382471770434062,44.0,0.0035296821179296592,46.0,0.0038976205979266167,43.0,0.011382471770434062,0.010253331318799375,0.00422328522950651
general,2,2,model.layers.2.mlp,14,0.01831036983321247,18.0,0.006222761172550793,19.0,0.007601633324090723,10.0,0.01831036983321247,0.01807642441675403,0.008236785734053962
general,2,2,model.layers.2.mlp,15,0.012159432300839117,41.0,0.003836900202657205,42.0,0.004350353990205147,39.0,0.012159432300839117,0.01114576545439404,0.00471384663754387
general,2,2,model.layers.2.mlp,16,0.01666580337718844,28.0,0.00572520261673832,26.0,0.006420823718222122,20.0,0.01666580337718844,0.016631072525904154,0.006957313901937439
general,2,2,model.layers.2.mlp,17,0.009556614523982182,53.0,0.0036202200234868695,45.0,0.0035040936872776413,46.0,0.009556614523982182,0.010516333796521858,0.003796877284607704
general,2,2,model.layers.2.mlp,18,0.013428467833834041,35.0,0.004381607199510515,37.0,0.005292424723339256,32.0,0.013428467833834041,0.012728078287052502,0.0057346318351878195
